station	Xlamb	Ylamb	mnt	rugo	pent	ori	rgl	en10	ind_veg	dmer	dFor	dvil	Ttemp
4039001	935700	1880600	726	30	3	297	588	711	160	199	1	136	186
4049001	892900	1902400	454	14	2	100	608	890	121	376	1	78	220
4088001	876700	1890300	531	22	6	35	556	1010	70	306	6	39	218
4112001	877500	1877400	441	18	2	94	606	1039	140	264	4	4	230
4113001	915800	1912400	700	11	0	365	603	788	47	345	4	26	192
4160001	867600	1879900	461	17	5	206	645	966	167	253	2	41	213
4172001	907300	1873200	666	6	0	365	603	1039	80	253	2	103	207
4173002	935300	1893000	914	19	4	254	612	792	161	235	2	106	187
4192001	871300	1887100	623	17	4	96	609	1070	230	285	0	48	214
4193002	957800	1965000	1909	29	4	172	642	500	149	420	2	72	129
5007001	948200	1985200	1731	22	12	266	607	676	154	508	1	58	139
5023001	939400	1999000	1521	38	32	223	791	683	163	573	1	4	172
5026001	952100	1973400	1760	42	13	196	715	688	94	460	1	47	147
5028001	874200	1947200	753	12	0	365	603	870	254	517	0	100	187
5046001	931000	1960500	830	30	3	284	595	469	53	456	4	2	195
5064001	905300	1986300	1500	29	32	285	567	515	173	598	1	116	157
5079001	929700	2005900	1533	31	22	208	768	440	93	617	4	51	155
5093001	938300	2011600	1628	11	4	172	642	591	169	618	2	54	135
5096001	916900	1972800	1445	34	11	321	514	451	110	527	2	73	160
5098001	935300	1954100	1495	20	12	318	510	702	165	424	1	30	158
5118002	883500	1917200	568	22	8	347	523	906	212	415	5	121	214
5126001	849200	1937100	633	16	6	186	660	843	185	452	4	49	201
5132001	896400	1971600	1031	13	5	229	633	707	56	573	5	53	178
5132002	896800	1972000	1069	11	3	269	602	724	56	573	4	55	180
5139002	885800	1972800	1448	21	9	266	607	950	137	604	3	73	160
5142001	891800	1982700	970	29	19	154	756	637	190	619	0	92	174
5157001	959400	1976900	2175	14	18	215	732	905	134	456	3	78	134
5170001	894300	1945900	595	5	0	365	603	755	32	503	5	48	203
5182001	901200	1988100	1121	34	24	196	796	231	157	613	2	117	170
6004002	987800	1852200	0	17	3	77	598	1011	38	1	5	5	238
6004009	987500	1857900	0	0	0	365	603	987	37	1	2	15	235
6015001	1001900	1884800	448	34	5	148	645	842	206	55	3	54	223
6022002	984700	1881900	663	42	23	46	471	1016	198	76	1	17	206
6029001	973400	1848600	1	5	0	365	603	952	66	1	7	5	224
6037002	969100	1871700	1248	24	8	172	678	1236	159	87	5	40	178
6042001	984900	1900500	372	48	1	188	613	454	234	141	0	67	210
6057001	1003300	1884900	521	32	18	241	678	891	244	52	0	52	224
6071001	961600	1908400	772	46	4	86	602	456	224	215	0	145	196
6071003	961500	1910200	1135	38	20	253	659	757	212	221	2	149	206
6073005	986200	1922800	2509	35	12	173	713	1208	33	216	9	155	128
